Character,Line
Written by, Marta Kauffman & David Crane
Transcribed by, guineapig
Additional transcribing by, Eric Aasen
(Note, The previously unseen parts of this episode are shown in blue text.)
[Scene," Central Perk, Chandler, Joey, Phoebe, and Monica are there.]"
Monica, There's nothing to tell! He's just some guy
Joey," C'mon, you're going out with the guy! There's"
Chandler," All right Joey, be"
Phoebe," Wait, does he eat chalk?"
Phoebe," Just, 'cause, I don't want her to go through"
Monica," Okay, everybody relax. This is not even a"
Chandler, Sounds like a date to me.
Chandler," Alright, so I'm back in high school, I'm"
All," Oh, yeah. Had that dream."
Chandler," Then I look down, and I realize there's a"
Joey, Instead of...?
Chandler, That's right.
Joey, Never had that dream.
Phoebe, No.
Chandler," All of a sudden, the phone starts to ring."
Monica, And they weren't looking at
Chandler," Finally, I figure"
Ross, (mortified) Hi.
Joey," This guy says hello, I wanna kill myself."
Monica," Are you okay, sweetie?"
Ross, I just feel like someone reached down my
Chandler, Cookie?
Monica, (explaining to the others) Carol moved her
Joey, Ohh.
Monica, (to Ross) Let me get you some coffee.
Ross, Thanks.
Phoebe, Ooh! Oh! (She starts to pluck at the air
Ross," No, no don't! Stop cleansing my aura! No, just"
Phoebe, Fine!  Be murky!
Ross," I'll be fine,"
Monica, No you don't.
Ross," No I don't, to hell with her, she left me!"
Joey, And you never knew she was a lesbian...
Ross, No!! Okay?! Why does everyone keep fixating on
Chandler, Sometimes I wish I was a lesbian... (They
Ross," I told mom and dad last night,"
Monica," Oh really, so that"
hysterical phone call I got from a woman at sobbing 3,"00 A.M., ""I'll never have"
Ross, Sorry.
Joey," Alright Ross, look. You're feeling a lot of"
Joey," Strip joint! C'mon, you're single! Have some"
Ross," I don't want to be single, okay? I just... I"
Chandler, And I just want a million dollars! (He
Monica, Rachel?!
Rachel, Oh God Monica hi! Thank God! I just went to
Waitress, Can I get you some coffee?
Monica," (pointing at Rachel) De-caff. (to All) Okay,"
Rachel," Hi, sure!"
Ross, Hi. 
Monica," So you wanna tell us now, or are we waiting"
Rachel," Oh God... well, it started about a half hour"
hit me," how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked"
Monica, Who wasn't invited to the wedding.
Rachel," Ooh, I was kinda hoping that wouldn't be an"
issue... [Scene," Monica's Apartment, everyone is there and watching a Spanish Soap on TV"
Monica, Now I'm guessing that he bought her the big
Chandler, (imitating the characters)
Ross, (in a deep voice) I'll have
Rachel," (on phone) Daddy, I just... I can't marry"
Phoebe,  If I let go of
Chandler," (re TV) Ooh, she should not be wearing"
Joey, I say push her down the stairs. 
"Phoebe, Ross, Chandler, and Joey", 
Rachel," C'mon Daddy, listen to me! It's like, it's"
Ross, You can see where he'd have trouble.
Rachel," Look Daddy, it's my life. Well maybe I'll"
Monica," Well, I guess we've established who's"
Rachel," Well, maybe that's my decision. Well, maybe"
Monica," Just breathe, breathe.. that's it. Just try"
Phoebe, (sings) Raindrops on roses and rabbits and
Rachel, I'm all better now.
Phoebe, (grins and walks to the kitchen and says to
Monica," Okay, look, this is probably for the best,"
Joey," (comforting her) And hey, you need anything,"
Monica," Joey, stop hitting on her! It's her wedding"
Joey," What, like there's a rule or something?"
Chandler," Please don't do that again, it's a"
Paul," (over the intercom) It's, uh,"
Monica," Oh God, is it"
6,30?  Buzz him in!
Joey, Who's Paul?
Ross," Paul the Wine Guy, Paul?"
Monica, Maybe. Joey
Ross, He finally asked you out?
Monica, Yes!
Chandler," Ooh, this is a Dear Diary moment."
Monica," Rach, wait, I can cancel..."
Rachel," Please, no, go, that'd be fine!"
Monica," (to Ross) Are, are you okay? I mean, do you"
Ross, (choked voice) That'd be good...
Monica, (horrified) Really?
Ross," (normal voice) No, go on! It's Paul the Wine"
Phoebe, What does that mean?  
Monica," Hi, come in! Paul, this is.. (They are all"
All, Hey! Paul! Hi! The Wine Guy! Hey!
Chandler," I'm sorry, I didn't catch your name. Paul,"
Monica," Okay, umm-umm, I'll"
Ross, A wandering?
Monica," Change!  Okay,"
Phoebe," Ooh, I just pulled out four eyelashes. That"
Joey,"  Hey, Paul!"
Paul, Yeah?
Joey," Here's a little tip, she"
Monica, (yelling from the bedroom)
Ross," So Rachel, what're you, uh... what're you up"
Rachel," Well, I was kinda supposed to be headed for"
Ross," Right, you're not even getting your honeymoon,"
Chandler," (deadpan) Yes, and we're very excited"
Rachel," Well actually thanks, but I think I'm just"
Ross," Okay, sure."
